nodenumber     x-coordinate     y-coordinate           udm-11 
         1  0.000000000E+00  0.000000000E+00  1.000224886E+01 
         2  1.007701384E+00  0.000000000E+00  1.000215097E+01 
         3  2.007247274E+00  0.000000000E+00  1.000086657E+01 
         4  2.998703673E+00  0.000000000E+00  9.999719687E+00 
         5  3.982136051E+00  0.000000000E+00  9.999763846E+00 
         6  4.957609346E+00  0.000000000E+00  9.999784615E+00 
         7  5.925187975E+00  0.000000000E+00  9.999794522E+00 
         8  6.884935829E+00  0.000000000E+00  9.999796527E+00 
         9  7.836916284E+00  0.000000000E+00  9.999792774E+00 
        10  8.781192203E+00  0.000000000E+00  9.999784784E+00 
        11  9.717825941E+00  0.000000000E+00  9.999773642E+00 
        12  1.064687935E+01  0.000000000E+00  9.999760117E+00 
        13  1.156841377E+01  0.000000000E+00  9.999744747E+00 
        14  1.248249006E+01  0.000000000E+00  9.999727909E+00 
        15  1.338916858E+01  0.000000000E+00  9.999709858E+00 
        16  1.428850920E+01  0.000000000E+00  9.999690761E+00 
        17  1.518057130E+01  0.000000000E+00  9.999670722E+00 
        18  1.606541380E+01  0.000000000E+00  9.999649793E+00 
        19  1.694309512E+01  0.000000000E+00  9.999627992E+00 
        20  1.781367322E+01  0.000000000E+00  9.999605308E+00 
        21  1.867720559E+01  0.000000000E+00  9.999581706E+00 
        22  1.953374925E+01  0.000000000E+00  9.999557132E+00 
        23  2.038336076E+01  0.000000000E+00  9.999531518E+00 
        24  2.122609622E+01  0.000000000E+00  9.999504781E+00 
        25  2.206201128E+01  0.000000000E+00  9.999476828E+00 
        26  2.289116114E+01  0.000000000E+00  9.999447551E+00 
        27  2.371360056E+01  0.000000000E+00  9.999416834E+00 
        28  2.452938383E+01  0.000000000E+00  9.999384550E+00 
        29  2.533856484E+01  0.000000000E+00  9.999350562E+00 
        30  2.614119701E+01  0.000000000E+00  9.999314722E+00 
        31  2.693733335E+01  0.000000000E+00  9.999276871E+00 
        32  2.772702642E+01  0.000000000E+00  9.999236842E+00 
        33  2.851032837E+01  0.000000000E+00  9.999194456E+00 
        34  2.928729093E+01  0.000000000E+00  9.999149522E+00 
        35  3.005796541E+01  0.000000000E+00  9.999101840E+00 
        36  3.082240268E+01  0.000000000E+00  9.999051199E+00 
        37  3.158065324E+01  0.000000000E+00  9.998997376E+00 
        38  3.233276716E+01  0.000000000E+00  9.998940135E+00 
        39  3.307879409E+01  0.000000000E+00  9.998879231E+00 
        40  3.381878330E+01  0.000000000E+00  9.998814405E+00 
        41  3.455278365E+01  0.000000000E+00  9.998745389E+00 
        42  3.528084362E+01  0.000000000E+00  9.998671900E+00 
        43  3.600301127E+01  0.000000000E+00  9.998593645E+00 
