nodenumber     x-coordinate     y-coordinate           udm-12 
         1  0.000000000E+00  0.000000000E+00  9.996966107E+00 
         2  1.007701384E+00  0.000000000E+00  9.997100717E+00 
         3  2.007247274E+00  0.000000000E+00  9.998852625E+00 
         4  2.998703673E+00  0.000000000E+00  1.000043600E+01 
         5  3.982136051E+00  0.000000000E+00  1.000041511E+01 
         6  4.957609346E+00  0.000000000E+00  1.000042501E+01 
         7  5.925187975E+00  0.000000000E+00  1.000044905E+01 
         8  6.884935829E+00  0.000000000E+00  1.000048333E+01 
         9  7.836916284E+00  0.000000000E+00  1.000052500E+01 
        10  8.781192203E+00  0.000000000E+00  1.000057199E+01 
        11  9.717825941E+00  0.000000000E+00  1.000062280E+01 
        12  1.064687935E+01  0.000000000E+00  1.000067637E+01 
        13  1.156841377E+01  0.000000000E+00  1.000073190E+01 
        14  1.248249006E+01  0.000000000E+00  1.000078882E+01 
        15  1.338916858E+01  0.000000000E+00  1.000084669E+01 
        16  1.428850920E+01  0.000000000E+00  1.000090522E+01 
        17  1.518057130E+01  0.000000000E+00  1.000096418E+01 
        18  1.606541380E+01  0.000000000E+00  1.000102339E+01 
        19  1.694309512E+01  0.000000000E+00  1.000108274E+01 
        20  1.781367322E+01  0.000000000E+00  1.000114213E+01 
        21  1.867720559E+01  0.000000000E+00  1.000120149E+01 
        22  1.953374925E+01  0.000000000E+00  1.000126077E+01 
        23  2.038336076E+01  0.000000000E+00  1.000131994E+01 
        24  2.122609622E+01  0.000000000E+00  1.000137895E+01 
        25  2.206201128E+01  0.000000000E+00  1.000143780E+01 
        26  2.289116114E+01  0.000000000E+00  1.000149645E+01 
        27  2.371360056E+01  0.000000000E+00  1.000155488E+01 
        28  2.452938383E+01  0.000000000E+00  1.000161310E+01 
        29  2.533856484E+01  0.000000000E+00  1.000167106E+01 
        30  2.614119701E+01  0.000000000E+00  1.000172877E+01 
        31  2.693733335E+01  0.000000000E+00  1.000178619E+01 
        32  2.772702642E+01  0.000000000E+00  1.000184331E+01 
        33  2.851032837E+01  0.000000000E+00  1.000190010E+01 
        34  2.928729093E+01  0.000000000E+00  1.000195654E+01 
        35  3.005796541E+01  0.000000000E+00  1.000201260E+01 
        36  3.082240268E+01  0.000000000E+00  1.000206823E+01 
        37  3.158065324E+01  0.000000000E+00  1.000212340E+01 
        38  3.233276716E+01  0.000000000E+00  1.000217807E+01 
        39  3.307879409E+01  0.000000000E+00  1.000223219E+01 
        40  3.381878330E+01  0.000000000E+00  1.000228570E+01 
        41  3.455278365E+01  0.000000000E+00  1.000233855E+01 
        42  3.528084362E+01  0.000000000E+00  1.000239066E+01 
        43  3.600301127E+01  0.000000000E+00  1.000244196E+01 
        44  3.671933431E+01  0.000000000E+00  1.000249237E+01 
        45  3.742986002E+01  0.000000000E+00  1.000254181E+01 
        46  3.813463533E+01  0.000000000E+00  1.000259018E+01 
        47  3.883370678E+01  0.000000000E+00  1.000263738E+01 
        48  3.952712052E+01  0.000000000E+00  1.000268329E+01 
        49  4.021492235E+01  0.000000000E+00  1.000272781E+01 
        50  4.089715769E+01  0.000000000E+00  1.000277080E+01 
        51  4.157387159E+01  0.000000000E+00  1.000281213E+01 
        52  4.224510872E+01  0.000000000E+00  1.000285164E+01 
        53  4.291091342E+01  0.000000000E+00  1.000288920E+01 
        54  4.357132966E+01  0.000000000E+00  1.000292463E+01 
        55  4.422640104E+01  0.000000000E+00  1.000295776E+01 
        56  4.487617081E+01  0.000000000E+00  1.000298840E+01 
        57  4.552068189E+01  0.000000000E+00  1.000301636E+01 
        58  4.615997684E+01  0.000000000E+00  1.000304144E+01 
        59  4.679409786E+01  0.000000000E+00  1.000306342E+01 
        60  4.742308684E+01  0.000000000E+00  1.000308206E+01 
        61  4.804698530E+01  0.000000000E+00  1.000309715E+01 
        62  4.866583446E+01  0.000000000E+00  1.000310842E+01 
        63  4.927967516E+01  0.000000000E+00  1.000311561E+01 
        64  4.988854795E+01  0.000000000E+00  1.000311846E+01 
        65  5.049249303E+01  0.000000000E+00  1.000311668E+01 
        66  5.109155028E+01  0.000000000E+00  1.000310997E+01 
        67  5.168575926E+01  0.000000000E+00  1.000309803E+01 
        68  5.227515921E+01  0.000000000E+00  1.000308054E+01 
        69  5.285978905E+01  0.000000000E+00  1.000305717E+01 
        70  5.343968738E+01  0.000000000E+00  1.000302758E+01 
        71  5.401489250E+01  0.000000000E+00  1.000299143E+01 
        72  5.458544238E+01  0.000000000E+00  1.000294834E+01 
        73  5.515137472E+01  0.000000000E+00  1.000289795E+01 
        74  5.571272686E+01  0.000000000E+00  1.000283988E+01 
        75  5.626953590E+01  0.000000000E+00  1.000277373E+01 
        76  5.682183858E+01  0.000000000E+00  1.000269911E+01 
        77  5.736967139E+01  0.000000000E+00  1.000261560E+01 
        78  5.791307049E+01  0.000000000E+00  1.000252280E+01 
        79  5.845207178E+01  0.000000000E+00  1.000242029E+01 
        80  5.898671083E+01  0.000000000E+00  1.000230762E+01 
        81  5.951702297E+01  0.000000000E+00  1.000218439E+01 
        82  6.004304320E+01  0.000000000E+00  1.000205014E+01 
        83  6.056480627E+01  0.000000000E+00  1.000190445E+01 
        84  6.108234661E+01  0.000000000E+00  1.000174687E+01 
        85  6.159569842E+01  0.000000000E+00  1.000157697E+01 
        86  6.210489559E+01  0.000000000E+00  1.000139432E+01 
        87  6.260997174E+01  0.000000000E+00  1.000119849E+01 
        88  6.311096022E+01  0.000000000E+00  1.000098906E+01 
        89  6.360789412E+01  0.000000000E+00  1.000076561E+01 
        90  6.410080625E+01  0.000000000E+00  1.000052774E+01 
        91  6.458972916E+01  0.000000000E+00  1.000027505E+01 
        92  6.507469514E+01  0.000000000E+00  1.000000719E+01 
        93  6.555573621E+01  0.000000000E+00  9.999723795E+00 
        94  6.603288413E+01  0.000000000E+00  9.999424532E+00 
        95  6.650617042E+01  0.000000000E+00  9.999109101E+00 
        96  6.697562632E+01  0.000000000E+00  9.998777226E+00 
        97  6.744128283E+01  0.000000000E+00  9.998428667E+00 
